Organization (Aggregated),Enabled Users,% Active Users,Average Copilot Actions,Avg Active Days,% Power Users,Date
Groundhog Day,86,54.1%,12.6,2.4,,2025-03-30 00:00:00
Groundhog Day,88,57.0%,13.3,2.7,,2025-04-06 00:00:00
Groundhog Day,89,52.1%,14.0,2.4,,2025-04-13 00:00:00
Groundhog Day,84,57.7%,16.9,2.7,,2025-04-20 00:00:00
Groundhog Day,85,56.8%,10.9,1.9,,2025-04-27 00:00:00
Groundhog Day,88,55.3%,15.9,2.7,,2025-05-04 00:00:00
Groundhog Day,89,59.0%,16.8,3.0,,2025-05-11 00:00:00
Groundhog Day,87,54.9%,13.9,2.7,,2025-05-18 00:00:00
Groundhog Day,92,58.3%,15.1,2.7,9.7%,2025-05-25 00:00:00
Groundhog Day,93,58.5%,14.3,2.6,11.6%,2025-06-01 00:00:00
Groundhog Day,90,57.4%,17.8,2.9,12.8%,2025-06-08 00:00:00
Groundhog Day,90,58.7%,13.8,2.9,12.6%,2025-06-15 00:00:00
Groundhog Day,90,58.8%,16.9,2.7,14.0%,2025-06-22 00:00:00
Groundhog Day,92,61.2%,14.0,2.6,16.5%,2025-06-29 00:00:00
Groundhog Day,91,65.4%,16.8,3.0,16.2%,2025-07-06 00:00:00
Groundhog Day,92,59.4%,17.8,2.6,15.2%,2025-07-13 00:00:00
Groundhog Day,97,59.4%,17.8,2.7,16.8%,2025-07-20 00:00:00
Groundhog Day,98,59.3%,17.0,2.4,18.6%,2025-07-27 00:00:00
Groundhog Day,96,69.1%,24.5,2.8,20.9%,2025-08-03 00:00:00
Groundhog Day,96,63.5%,20.9,2.6,21.9%,2025-08-10 00:00:00
Groundhog Day,97,64.2%,19.0,2.7,25.4%,2025-08-17 00:00:00
Groundhog Day,101,69.1%,22.2,2.7,22.3%,2025-08-24 00:00:00
Groundhog Day,104,70.9%,22.3,2.8,27.0%,2025-08-31 00:00:00
Groundhog Day,107,70.0%,19.0,2.9,27.1%,2025-09-07 00:00:00
Groundhog Day,107,72.5%,25.9,2.8,26.1%,2025-09-14 00:00:00
Groundhog Day,108,72.5%,20.3,3.0,23.9%,2025-09-21 00:00:00
Groundhog Day,111,70.2%,18.0,2.6,24.8%,2025-09-28 00:00:00
Groundhog Day,108,72.7%,21.2,2.8,25.2%,2025-10-05 00:00:00
Groundhog Day,115,68.7%,18.3,2.7,24.5%,2025-10-12 00:00:00
Groundhog Day,112,74.5%,19.2,2.8,26.2%,2025-10-19 00:00:00
Groundhog Day,113,75.2%,19.9,2.9,24.8%,2025-10-26 00:00:00
Groundhog Day,113,73.2%,17.3,2.7,23.2%,2025-11-02 00:00:00
Groundhog Day,118,74.8%,19.4,2.9,25.2%,2025-11-09 00:00:00
Groundhog Day,118,76.7%,19.3,2.8,25.3%,2025-11-16 00:00:00
Groundhog Day,116,73.6%,19.7,2.8,25.0%,2025-11-23 00:00:00
Groundhog Day,119,73.3%,20.7,2.7,26.0%,2025-11-30 00:00:00
Groundhog Day,119,77.2%,18.9,2.8,27.6%,2025-12-07 00:00:00
Groundhog Day,122,72.3%,15.3,2.5,28.4%,2025-12-14 00:00:00
Groundhog Day,101,52.4%,9.3,1.3,27.4%,2025-12-21 00:00:00
Groundhog Day,77,50.5%,8.8,1.1,25.3%,2025-12-28 00:00:00
Groundhog Day,114,67.4%,13.2,2.0,23.9%,2026-01-04 00:00:00
Groundhog Day,127,76.5%,19.2,2.6,25.5%,2026-01-11 00:00:00
Groundhog Day,126,78.4%,18.8,2.8,25.7%,2026-01-18 00:00:00
Groundhog Day,127,79.7%,19.5,3.0,25.0%,2026-01-25 00:00:00
Groundhog Day,128,79.1%,21.6,2.9,24.3%,2026-02-01 00:00:00
Groundhog Day,132,84.7%,21.2,3.0,24.0%,2026-02-08 00:00:00
Groundhog Day,134,82.0%,22.4,2.9,23.3%,2026-02-15 00:00:00
